订单编号,省份,品类,月份,销售额,订单量
SO0100001,广东,数码家电,1,1464.32,54639
SO0200002,广东,数码家电,2,1231.36,45946
SO0300003,广东,数码家电,3,1580.8,58985
SO0400004,广东,数码家电,4,,62090
SO0500005,广东,数码家电,5,1797.12,67057
SO0600006,广东,数码家电,6,"2,695.68",100585
SO0700007,广东,数码家电,7,1630.72,60848
SO0800008,广东,数码家电,8,1697.28,６３３３１
SO0900009,广东,数码家电,9,1863.68,69540
SO1000010,广东,数码家电,10,1996.8,74507
SO1100011,广东,数码家电,11,,135355
SO1200012,广东,数码家电,12,2462.72,91893
SO0100013,广东,服饰鞋包,1,1098.24,40979
SO0200014,广东,服饰鞋包,2,923.52,34460
SO0300015,广东,服饰鞋包,3,1185.6,44239
SO0400016,广东,服饰鞋包,4,1248.0,46567
SO0500017,广东,服饰鞋包,5,"1,347.84",50293
SO0600018,广东,服饰鞋包,6,,75439
SO0700019,广东,服饰鞋包,7,1223.04,45636
SO0800020,广东,服饰鞋包,8,1272.96,47499

SO0900021,广东,服饰鞋包,9,1397.76,５２１５５
SO1000022,广东,服饰鞋包,10,1497.6,55881
SO1100023,广东,服饰鞋包,11,2720.64,101516
SO1200024,广东,服饰鞋包,12,1847.04,68919
SO0100025,广东,食品生鲜,1,,30734
SO0200026,广东,食品生鲜,2,692.64,25845
SO0300027,广东,食品生鲜,3,889.2,33179
SO0400028,广东,食品生鲜,4,936.00,34925
SO0500029,广东,食品生鲜,5,1010.88,37719
SO0600030,广东,食品生鲜,6,1516.32,56579
SO0700031,广东,食品生鲜,7,917.28,34227
SO0800032,广东,食品生鲜,8,,35624
SO0900033,广东,食品生鲜,9,1048.32,39116
SO1000034,广东,食品生鲜,10,1123.2,４１９１０
SO1100035,广东,食品生鲜,11,2040.48,76137
SO1200036,广东,食品生鲜,12,1385.28,51690
SO0100037,广东,家居日用,1,686.4,25612
SO0200038,广东,家居日用,2,577.2,21537
SO0300039,广东,家居日用,3,,27649
SO0400040,广东,家居日用,4,780.0,29104

SO0500041,广东,家居日用,5,842.4,31433
SO0600042,广东,家居日用,6,1263.6,47149
SO0700043,广东,家居日用,7,764.4,28522
SO0800044,广东,家居日用,8,795.6,29687
SO0900045,广东,家居日用,9,873.6,32597
SO1000046,广东,家居日用,10,,34925
SO1100047,广东,家居日用,11,1700.4,６３４４８
SO1200048,广东,家居日用,12,1154.4,43075
SO0100049,广东,美妆个护,1,503.36,18782
SO0200050,广东,美妆个护,2,423.28,15794
SO0300051,广东,美妆个护,3,543.4,20276
SO0400052,广东,美妆个护,4,572.0,21343
SO0500053,广东,美妆个护,5,,23051
SO0600054,广东,美妆个护,6,926.64,34576
SO0700055,广东,美妆个护,7,560.56,20916
SO0800056,广东,美妆个护,8,583.44,21770
SO0900057,广东,美妆个护,9,640.64,23904
SO1000058,广东,美妆个护,10,686.4,25612
SO1100059,广东,美妆个护,11,1246.96,46528
SO1200060,广东,美妆个护,12,,31588

SO0100061,江苏,数码家电,1,"1,210.88",45182
SO0200062,江苏,数码家电,2,1018.24,37994
SO0300063,江苏,数码家电,3,1307.2,48776
SO0400064,江苏,数码家电,4,1376.0,51343
SO0500065,江苏,数码家电,5,1486.08,55451
SO0600066,江苏,数码家电,6,2229.12,83176
SO0700067,江苏,数码家电,7,,50316
SO0800068,江苏,数码家电,8,1403.52,52370
SO0900069,江苏,数码家电,9,1541.12,57504
SO1000070,江苏,数码家电,10,1651.2,61612
SO1100071,江苏,数码家电,11,2999.68,111928
SO1200072,江苏,数码家电,12,"2,036.48",75988
SO0100073,江苏,服饰鞋包,1,908.16,３３８８７
SO0200074,江苏,服饰鞋包,2,,28496
SO0300075,江苏,服饰鞋包,3,980.4,36582
SO0400076,江苏,服饰鞋包,4,1032.0,38507
SO0500077,江苏,服饰鞋包,5,1114.56,41588
SO0600078,江苏,服饰鞋包,6,1671.84,62382
SO0700079,江苏,服饰鞋包,7,1011.36,37737
SO0800080,江苏,服饰鞋包,8,1052.64,39278

SO0900081,江苏,服饰鞋包,9,,43128
SO1000082,江苏,服饰鞋包,10,1238.4,46209
SO1100083,江苏,服饰鞋包,11,"2,249.76",83946
SO1200084,江苏,服饰鞋包,12,1527.36,56991
SO0100085,江苏,食品生鲜,1,681.12,25415
SO0200086,江苏,食品生鲜,2,572.76,２１３７２
SO0300087,江苏,食品生鲜,3,735.3,27437
SO0400088,江苏,食品生鲜,4,,28881
SO0500089,江苏,食品生鲜,5,835.92,31191
SO0600090,江苏,食品生鲜,6,1253.88,46787
SO0700091,江苏,食品生鲜,7,758.52,28303
SO0800092,江苏,食品生鲜,8,789.48,29458
SO0900093,江苏,食品生鲜,9,866.88,32346
SO1000094,江苏,食品生鲜,10,928.80,34657
SO1100095,江苏,食品生鲜,11,,62960
SO1200096,江苏,食品生鲜,12,1145.52,42743
SO0100097,江苏,家居日用,1,567.6,21179
SO0200098,江苏,家居日用,2,477.3,17810
SO0300099,江苏,家居日用,3,612.75,２２８６４
SO0400100,江苏,家居日用,4,645.0,24067

SO0500101,江苏,家居日用,5,696.6,25993
SO0600102,江苏,家居日用,6,,38989
SO0700103,江苏,家居日用,7,632.1,23586
SO0800104,江苏,家居日用,8,657.9,24549
SO0900105,江苏,家居日用,9,722.40,26955
SO1000106,江苏,家居日用,10,774.0,28881
SO1100107,江苏,家居日用,11,1406.1,52466
SO1200108,江苏,家居日用,12,954.6,35619
SO0100109,江苏,美妆个护,1,,15531
SO0200110,江苏,美妆个护,2,350.02,13060
SO0300111,江苏,美妆个护,3,449.35,16767
SO0400112,江苏,美妆个护,4,473.0,１７６４９
SO0500113,江苏,美妆个护,5,510.84,19061
SO0600114,江苏,美妆个护,6,766.26,28592
SO0700115,江苏,美妆个护,7,463.54,17296
SO0800116,江苏,美妆个护,8,,18002
SO0900117,江苏,美妆个护,9,529.76,19767
SO1000118,江苏,美妆个护,10,567.6,21179
SO1100119,江苏,美妆个护,11,1031.14,38475
SO1200120,江苏,美妆个护,12,700.04,26121

SO0100121,浙江,数码家电,1,1154.56,43081
SO0200122,浙江,数码家电,2,970.88,36227
SO0300123,浙江,数码家电,3,,46507
SO0400124,浙江,数码家电,4,1312.0,48955
SO0500125,浙江,数码家电,5,1416.96,５２８７２
SO0600126,浙江,数码家电,6,2125.44,79307
SO0700127,浙江,数码家电,7,"1,285.76",47976
SO0800128,浙江,数码家电,8,1338.24,49934
SO0900129,浙江,数码家电,9,1469.44,54830
SO1000130,浙江,数码家电,10,,58746
SO1100131,浙江,数码家电,11,2860.16,106722
SO1200132,浙江,数码家电,12,1941.76,72454
SO0100133,浙江,服饰鞋包,1,865.92,32310
SO0200134,浙江,服饰鞋包,2,728.16,27170
SO0300135,浙江,服饰鞋包,3,934.8,34881
SO0400136,浙江,服饰鞋包,4,984.0,36716
SO0500137,浙江,服饰鞋包,5,,39654
SO0600138,浙江,服饰鞋包,6,"1,594.08",59481
SO0700139,浙江,服饰鞋包,7,964.32,35982
SO0800140,浙江,服饰鞋包,8,1003.68,37451

SO0900141,浙江,服饰鞋包,9,1102.08,41122
SO1000142,浙江,服饰鞋包,10,1180.8,44060
SO1100143,浙江,服饰鞋包,11,2145.12,80042
SO1200144,浙江,服饰鞋包,12,,54340
SO0100145,浙江,食品生鲜,1,649.44,24233
SO0200146,浙江,食品生鲜,2,546.12,20378
SO0300147,浙江,食品生鲜,3,701.1,26160
SO0400148,浙江,食品生鲜,4,738.0,27537
SO0500149,浙江,食品生鲜,5,797.04,29740
SO0600150,浙江,食品生鲜,6,1195.56,44610
SO0700151,浙江,食品生鲜,7,,26987
SO0800152,浙江,食品生鲜,8,752.76,28088
SO0900153,浙江,食品生鲜,9,826.56,30842
SO1000154,浙江,食品生鲜,10,885.6,33045
SO1100155,浙江,食品生鲜,11,1608.84,60031
SO1200156,浙江,食品生鲜,12,1092.24,40755
SO0100157,浙江,家居日用,1,541.2,20194
SO0200158,浙江,家居日用,2,,16981
SO0300159,浙江,家居日用,3,584.25,21800
SO0400160,浙江,家居日用,4,615.00,22948

SO0500161,浙江,家居日用,5,664.2,24784
SO0600162,浙江,家居日用,6,996.3,37175
SO0700163,浙江,家居日用,7,602.7,22489
SO0800164,浙江,家居日用,8,627.3,２３４０７
SO0900165,浙江,家居日用,9,,25701
SO1000166,浙江,家居日用,10,738.0,27537
