学生编号,省份,品类,销售额
202300000,广东,数码家电,1464.32
202300001,广 东,数码家电,1231.36
202300002,广东,数码家电,1580.8
202300003,广东,数码家电,1664.0
202300004,广东,数码家电,1797.12
202300005,广东,数码家电,2695.68
202300006,广东,数码家电,1630.72
202300007,广 东,数码家电,1697.28
202300008,广东,数码家电,1863.68
202300009,广东,数码家电,1996.8
202300010,广东,数码家电,3627.52
202300011,广东,数码家电,2462.72
202300012,广东,服饰鞋包,1098.24
202300013,广 东,服饰鞋包,923.52
202300014,广东,服饰鞋包,1185.6
学生编号,省份,品类,销售额
202300015,广东,服饰鞋包,1248.0
202300016,广东,服饰鞋包,1347.84
202300017,广东,服饰鞋包,2021.76
202300018,广东,服饰鞋包,1223.04
202300019,广 东,服饰鞋包,1272.96
202300020,广东,服饰鞋包,1397.76
202300021,广东,服饰鞋包,1497.6
202300022,广东,服饰鞋包,2720.64
202300023,广东,服饰鞋包,1847.04
202300024,广东,食品生鲜,823.68
202300025,广 东,食品生鲜,692.64
202300026,广东,食品生鲜,889.2
202300027,广东,食品生鲜,936.0
202300028,广东,食品生鲜,1010.88
202300029,广东,食品生鲜,1516.32
学生编号,省份,品类,销售额
202300030,广东,食品生鲜,917.28
202300031,广 东,食品生鲜,954.72
202300032,广东,食品生鲜,1048.32
202300033,广东,食品生鲜,1123.2
202300034,广东,食品生鲜,2040.48
202300035,广东,食品生鲜,1385.28
202300036,广东,家居日用,686.4
202300037,广 东,家居日用,577.2
202300038,广东,家居日用,741.0
202300039,广东,家居日用,780.0
202300040,广东,家居日用,842.4
202300041,广东,家居日用,1263.6
202300042,广东,家居日用,764.4
202300043,广 东,家居日用,795.6
202300044,广东,家居日用,873.6
学生编号,省份,品类,销售额
202300045,广东,家居日用,936.0
202300046,广东,家居日用,1700.4
202300047,广东,家居日用,1154.4
202300048,广东,美妆个护,503.36
202300049,广 东,美妆个护,423.28
202300050,广东,美妆个护,543.4
202300051,广东,美妆个护,572.0
202300052,广东,美妆个护,617.76
202300053,广东,美妆个护,926.64
202300054,广东,美妆个护,560.56
202300055,广 东,美妆个护,583.44
202300056,广东,美妆个护,640.64
202300057,广东,美妆个护,686.4
202300058,广东,美妆个护,1246.96
202300059,广东,美妆个护,846.56
学生编号,省份,品类,销售额
